model,fold,metric,value,dataset,task
RandomForest,4,accuracy,0.75,MDVR-KCL,SpontaneousDialogue
RandomForest,4,precision,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
RandomForest,4,recall,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
RandomForest,4,f1,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
RandomForest,4,roc_auc,0.8,MDVR-KCL,SpontaneousDialogue
RandomForest,5,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
RandomForest,5,precision,0.0,MDVR-KCL,SpontaneousDialogue
RandomForest,5,recall,0.0,MDVR-KCL,SpontaneousDialogue
RandomForest,5,f1,0.0,MDVR-KCL,SpontaneousDialogue
RandomForest,5,roc_auc,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,accuracy,0.8026315789473685,PD_SPEECH_FEATURES,N/A
LogisticRegression,1,precision,0.8672566371681416,PD_SPEECH_FEATURES,N/A
LogisticRegression,1,recall,0.8672566371681416,PD_SPEECH_FEATURES,N/A
LogisticRegression,1,f1,0.8672566371681416,PD_SPEECH_FEATURES,N/A
LogisticRegression,1,roc_auc,0.8257317903335603,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,accuracy,0.847682119205298,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,precision,0.9245283018867925,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,recall,0.8672566371681416,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,f1,0.8949771689497716,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,roc_auc,0.8653935724266418,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,accuracy,0.8278145695364238,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,precision,0.8849557522123894,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,recall,0.8849557522123894,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,f1,0.8849557522123894,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,roc_auc,0.8572426641825803,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,accuracy,0.8344370860927153,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,precision,0.8928571428571429,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,recall,0.8849557522123894,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,f1,0.8888888888888888,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,roc_auc,0.9012575687005122,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,accuracy,0.8145695364238411,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,precision,0.8888888888888888,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,recall,0.8571428571428571,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,f1,0.8727272727272727,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,roc_auc,0.8848443223443224,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,accuracy,0.8289473684210527,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,precision,0.859504132231405,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,recall,0.9203539823008849,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,f1,0.8888888888888888,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,roc_auc,0.8692988427501701,PD_SPEECH_FEATURES,N/A
SVM_RBF,2,accuracy,0.8741721854304636,PD_SPEECH_FEATURES,N/A
SVM_RBF,2,precision,0.9272727272727272,PD_SPEECH_FEATURES,N/A
SVM_RBF,2,recall,0.9026548672566371,PD_SPEECH_FEATURES,N/A
SVM_RBF,2,f1,0.9147982062780269,PD_SPEECH_FEATURES,N/A
SVM_RBF,2,roc_auc,0.9187238006520727,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,accuracy,0.8543046357615894,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,precision,0.8956521739130435,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,recall,0.911504424778761,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,f1,0.9035087719298246,PD_SPEECH_FEATURES,N/A
SVM_RBF,3,roc_auc,0.9142990218910106,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,accuracy,0.8609271523178808,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,precision,0.8898305084745762,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,recall,0.9292035398230089,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,f1,0.9090909090909091,PD_SPEECH_FEATURES,N/A
SVM_RBF,4,roc_auc,0.9161620866325104,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,accuracy,0.8145695364238411,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,precision,0.8620689655172413,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,recall,0.8928571428571429,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,f1,0.8771929824561403,PD_SPEECH_FEATURES,N/A
SVM_RBF,5,roc_auc,0.8814102564102564,PD_SPEECH_FEATURES,N/A
RandomForest,1,accuracy,0.868421052631579,PD_SPEECH_FEATURES,N/A
RandomForest,1,precision,0.8604651162790697,PD_SPEECH_FEATURES,N/A
RandomForest,1,recall,0.9823008849557522,PD_SPEECH_FEATURES,N/A
RandomForest,1,f1,0.9173553719008265,PD_SPEECH_FEATURES,N/A
RandomForest,1,roc_auc,0.9449739051508963,PD_SPEECH_FEATURES,N/A
RandomForest,2,accuracy,0.8675496688741722,PD_SPEECH_FEATURES,N/A
RandomForest,2,precision,0.8661417322834646,PD_SPEECH_FEATURES,N/A
RandomForest,2,recall,0.9734513274336283,PD_SPEECH_FEATURES,N/A
RandomForest,2,f1,0.9166666666666666,PD_SPEECH_FEATURES,N/A
RandomForest,2,roc_auc,0.9413134606427573,PD_SPEECH_FEATURES,N/A
RandomForest,3,accuracy,0.8874172185430463,PD_SPEECH_FEATURES,N/A
RandomForest,3,precision,0.8692307692307693,PD_SPEECH_FEATURES,N/A
RandomForest,3,recall,1.0,PD_SPEECH_FEATURES,N/A
RandomForest,3,f1,0.9300411522633745,PD_SPEECH_FEATURES,N/A
RandomForest,3,roc_auc,0.97007452258966,PD_SPEECH_FEATURES,N/A
RandomForest,4,accuracy,0.8410596026490066,PD_SPEECH_FEATURES,N/A
RandomForest,4,precision,0.8396946564885496,PD_SPEECH_FEATURES,N/A
RandomForest,4,recall,0.9734513274336283,PD_SPEECH_FEATURES,N/A
RandomForest,4,f1,0.9016393442622951,PD_SPEECH_FEATURES,N/A
RandomForest,4,roc_auc,0.9413134606427573,PD_SPEECH_FEATURES,N/A
RandomForest,5,accuracy,0.8609271523178808,PD_SPEECH_FEATURES,N/A
RandomForest,5,precision,0.8582677165354331,PD_SPEECH_FEATURES,N/A
RandomForest,5,recall,0.9732142857142857,PD_SPEECH_FEATURES,N/A
RandomForest,5,f1,0.9121338912133892,PD_SPEECH_FEATURES,N/A
RandomForest,5,roc_auc,0.9451694139194139,PD_SPEECH_FEATURES,N/A
