model,fold,metric,value,dataset,task
SVM_RBF,4,f1,0.0,MDVR-KCL,ReadText
SVM_RBF,4,roc_auc,0.75,MDVR-KCL,ReadText
SVM_RBF,5,accuracy,0.625,MDVR-KCL,ReadText
SVM_RBF,5,precision,0.6666666666666666,MDVR-KCL,ReadText
SVM_RBF,5,recall,0.5,MDVR-KCL,ReadText
SVM_RBF,5,f1,0.5714285714285714,MDVR-KCL,ReadText
SVM_RBF,5,roc_auc,0.6875,MDVR-KCL,ReadText
RandomForest,1,accuracy,0.75,MDVR-KCL,ReadText
RandomForest,1,precision,1.0,MDVR-KCL,ReadText
RandomForest,1,recall,0.3333333333333333,MDVR-KCL,ReadText
RandomForest,1,f1,0.5,MDVR-KCL,ReadText
RandomForest,1,roc_auc,0.9,MDVR-KCL,ReadText
RandomForest,2,accuracy,0.8571428571428571,MDVR-KCL,ReadText
RandomForest,2,precision,0.75,MDVR-KCL,ReadText
RandomForest,2,recall,1.0,MDVR-KCL,ReadText
RandomForest,2,f1,0.8571428571428571,MDVR-KCL,ReadText
RandomForest,2,roc_auc,0.9166666666666666,MDVR-KCL,ReadText
RandomForest,3,accuracy,1.0,MDVR-KCL,ReadText
RandomForest,3,precision,1.0,MDVR-KCL,ReadText
RandomForest,3,recall,1.0,MDVR-KCL,ReadText
RandomForest,3,f1,1.0,MDVR-KCL,ReadText
RandomForest,3,roc_auc,1.0,MDVR-KCL,ReadText
RandomForest,4,accuracy,0.8571428571428571,MDVR-KCL,ReadText
RandomForest,4,precision,1.0,MDVR-KCL,ReadText
RandomForest,4,recall,0.6666666666666666,MDVR-KCL,ReadText
RandomForest,4,f1,0.8,MDVR-KCL,ReadText
RandomForest,4,roc_auc,0.6666666666666666,MDVR-KCL,ReadText
RandomForest,5,accuracy,0.625,MDVR-KCL,ReadText
RandomForest,5,precision,0.6666666666666666,MDVR-KCL,ReadText
RandomForest,5,recall,0.5,MDVR-KCL,ReadText
RandomForest,5,f1,0.5714285714285714,MDVR-KCL,ReadText
RandomForest,5,roc_auc,0.625,MDVR-KCL,ReadText
GradientBoosting,1,accuracy,0.5,MDVR-KCL,ReadText
GradientBoosting,1,precision,0.3333333333333333,MDVR-KCL,ReadText
GradientBoosting,1,recall,0.3333333333333333,MDVR-KCL,ReadText
GradientBoosting,1,f1,0.3333333333333333,MDVR-KCL,ReadText
GradientBoosting,1,roc_auc,0.39999999999999997,MDVR-KCL,ReadText
GradientBoosting,2,accuracy,0.5714285714285714,MDVR-KCL,ReadText
GradientBoosting,2,precision,0.5,MDVR-KCL,ReadText
GradientBoosting,2,recall,0.6666666666666666,MDVR-KCL,ReadText
GradientBoosting,2,f1,0.5714285714285714,MDVR-KCL,ReadText
GradientBoosting,2,roc_auc,0.75,MDVR-KCL,ReadText
GradientBoosting,3,accuracy,0.7142857142857143,MDVR-KCL,ReadText
GradientBoosting,3,precision,0.6,MDVR-KCL,ReadText
GradientBoosting,3,recall,1.0,MDVR-KCL,ReadText
GradientBoosting,3,f1,0.75,MDVR-KCL,ReadText
GradientBoosting,3,roc_auc,1.0,MDVR-KCL,ReadText
GradientBoosting,4,accuracy,0.8571428571428571,MDVR-KCL,ReadText
GradientBoosting,4,precision,1.0,MDVR-KCL,ReadText
GradientBoosting,4,recall,0.6666666666666666,MDVR-KCL,ReadText
GradientBoosting,4,f1,0.8,MDVR-KCL,ReadText
GradientBoosting,4,roc_auc,0.75,MDVR-KCL,ReadText
GradientBoosting,5,accuracy,0.625,MDVR-KCL,ReadText
GradientBoosting,5,precision,0.6666666666666666,MDVR-KCL,ReadText
GradientBoosting,5,recall,0.5,MDVR-KCL,ReadText
GradientBoosting,5,f1,0.5714285714285714,MDVR-KCL,ReadText
GradientBoosting,5,roc_auc,0.71875,MDVR-KCL,ReadText
XGBoost,1,accuracy,0.5,MDVR-KCL,ReadText
XGBoost,1,precision,0.3333333333333333,MDVR-KCL,ReadText
XGBoost,1,recall,0.3333333333333333,MDVR-KCL,ReadText
XGBoost,1,f1,0.3333333333333333,MDVR-KCL,ReadText
XGBoost,1,roc_auc,0.5333333333333333,MDVR-KCL,ReadText
XGBoost,2,accuracy,0.7142857142857143,MDVR-KCL,ReadText
XGBoost,2,precision,0.6,MDVR-KCL,ReadText
XGBoost,2,recall,1.0,MDVR-KCL,ReadText
XGBoost,2,f1,0.75,MDVR-KCL,ReadText
XGBoost,2,roc_auc,0.9166666666666666,MDVR-KCL,ReadText
XGBoost,3,accuracy,1.0,MDVR-KCL,ReadText
XGBoost,3,precision,1.0,MDVR-KCL,ReadText
XGBoost,3,recall,1.0,MDVR-KCL,ReadText
XGBoost,3,f1,1.0,MDVR-KCL,ReadText
XGBoost,3,roc_auc,1.0,MDVR-KCL,ReadText
XGBoost,4,accuracy,0.8571428571428571,MDVR-KCL,ReadText
XGBoost,4,precision,1.0,MDVR-KCL,ReadText
XGBoost,4,recall,0.6666666666666666,MDVR-KCL,ReadText
XGBoost,4,f1,0.8,MDVR-KCL,ReadText
XGBoost,4,roc_auc,0.8333333333333333,MDVR-KCL,ReadText
XGBoost,5,accuracy,0.625,MDVR-KCL,ReadText
XGBoost,5,precision,0.6666666666666666,MDVR-KCL,ReadText
XGBoost,5,recall,0.5,MDVR-KCL,ReadText
XGBoost,5,f1,0.5714285714285714,MDVR-KCL,ReadText
XGBoost,5,roc_auc,0.6875,MDVR-KCL,ReadText
LogisticRegression,1,accuracy,0.7142857142857143,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,precision,0.6,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,recall,1.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,f1,0.75,MDVR-KCL,SpontaneousDialogue
LogisticRegression,1,roc_auc,0.75,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,accuracy,1.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,precision,1.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,recall,1.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,f1,1.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,2,roc_auc,1.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,3,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
LogisticRegression,3,precision,0.5,MDVR-KCL,SpontaneousDialogue
LogisticRegression,3,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
LogisticRegression,3,f1,0.4,MDVR-KCL,SpontaneousDialogue
LogisticRegression,3,roc_auc,0.8333333333333334,MDVR-KCL,SpontaneousDialogue
LogisticRegression,4,accuracy,0.5,MDVR-KCL,SpontaneousDialogue
LogisticRegression,4,precision,0.4,MDVR-KCL,SpontaneousDialogue
LogisticRegression,4,recall,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
LogisticRegression,4,f1,0.5,MDVR-KCL,SpontaneousDialogue
LogisticRegression,4,roc_auc,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
LogisticRegression,5,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
LogisticRegression,5,precision,0.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,5,recall,0.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,5,f1,0.0,MDVR-KCL,SpontaneousDialogue
LogisticRegression,5,roc_auc,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
SVM_RBF,1,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
SVM_RBF,1,precision,0.5,MDVR-KCL,SpontaneousDialogue
SVM_RBF,1,recall,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
SVM_RBF,1,f1,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
SVM_RBF,1,roc_auc,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
SVM_RBF,2,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
SVM_RBF,2,precision,0.5,MDVR-KCL,SpontaneousDialogue
SVM_RBF,2,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
SVM_RBF,2,f1,0.4,MDVR-KCL,SpontaneousDialogue
SVM_RBF,2,roc_auc,0.25,MDVR-KCL,SpontaneousDialogue
SVM_RBF,3,accuracy,0.7142857142857143,MDVR-KCL,SpontaneousDialogue
SVM_RBF,3,precision,1.0,MDVR-KCL,SpontaneousDialogue
SVM_RBF,3,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
SVM_RBF,3,f1,0.5,MDVR-KCL,SpontaneousDialogue
SVM_RBF,3,roc_auc,0.08333333333333333,MDVR-KCL,SpontaneousDialogue
SVM_RBF,4,accuracy,0.75,MDVR-KCL,SpontaneousDialogue
SVM_RBF,4,precision,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
SVM_RBF,4,recall,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
SVM_RBF,4,f1,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
SVM_RBF,4,roc_auc,0.8,MDVR-KCL,SpontaneousDialogue
