model,method,rank,feature,mean,std
LogisticRegression,permutation,20.0,mfcc_8_mean,-0.002857142857142858,0.006388765649999402
RandomForest,native,1.0,mfcc_5_mean,0.0804596075285698,0.022464908583836582
RandomForest,native,2.0,shimmer_apq11,0.0693429679650873,0.006825031240696151
RandomForest,native,3.0,delta_mfcc_8_mean,0.050887722285660575,0.014815482579562202
RandomForest,native,4.0,jitter_local,0.041260578599383216,0.012473239315343457
RandomForest,native,5.0,delta_mfcc_2_mean,0.03953738587621185,0.017708148289051928
RandomForest,native,6.0,autocorr_harmonicity,0.03671791675061633,0.011395712502547506
RandomForest,native,7.0,shimmer_local,0.0358967039209542,0.017422418586364147
RandomForest,native,8.0,mfcc_1_mean,0.03433912337402101,0.009886747932498628
RandomForest,native,9.0,f0_std,0.03195520656636756,0.022254234400676014
RandomForest,native,10.0,f0_mean,0.03117481492234516,0.012667446407151676
RandomForest,native,11.0,jitter_ppq5,0.030831459945530142,0.006229558892291148
RandomForest,native,12.0,shimmer_apq3,0.027609174927008845,0.007161080736681471
RandomForest,native,13.0,mfcc_2_mean,0.026495076560980456,0.02250794877194549
RandomForest,native,14.0,f1_std,0.026392798448330635,0.015121980532604839
RandomForest,native,15.0,f3_std,0.023860768004232733,0.012090850598775734
RandomForest,native,16.0,delta_mfcc_4_mean,0.021024509550053968,0.012527051957926357
RandomForest,native,17.0,intensity_max,0.020999323354460482,0.013777081288678038
RandomForest,native,18.0,intensity_min,0.020362911110161995,0.006486231652109928
RandomForest,native,19.0,delta_mfcc_1_mean,0.019343148006090286,0.009413930490490904
RandomForest,native,20.0,mfcc_4_mean,0.01840554031941025,0.009433020790385774
RandomForest,permutation,1.0,mfcc_5_mean,0.037142857142857144,0.05111012519999519
RandomForest,permutation,2.0,delta_mfcc_2_mean,0.028571428571428574,0.03912303982179759
RandomForest,permutation,3.0,mfcc_6_mean,0.017142857142857147,0.03833259389999641
RandomForest,permutation,4.0,mfcc_8_mean,0.01428571428571429,0.03194382824999701
RandomForest,permutation,5.0,delta_mfcc_4_mean,0.011428571428571432,0.025555062599997607
RandomForest,permutation,5.0,intensity_min,0.011428571428571432,0.025555062599997607
