model,method,rank,feature,mean,std
LogisticRegression,permutation,20.0,mfcc_11_mean,-2.0816681711721684e-18,0.10140121613004976
RandomForest,native,1.0,f0_max,0.05156103182448911,0.019237351816836928
RandomForest,native,2.0,delta_mfcc_2_mean,0.0386716610850387,0.017799313142735675
RandomForest,native,3.0,f3_std,0.03781894193155858,0.011388025735328572
RandomForest,native,4.0,autocorr_harmonicity,0.03766597752136462,0.01672501633340619
RandomForest,native,5.0,intensity_mean,0.03549953007586905,0.021181534201878145
RandomForest,native,6.0,f0_mean,0.03229335087428605,0.012233769011467393
RandomForest,native,7.0,shimmer_apq3,0.031518945019032386,0.013284763149085105
RandomForest,native,8.0,mfcc_12_mean,0.03089458259862894,0.007195081728252115
RandomForest,native,9.0,f1_std,0.03084212863360734,0.021667833658421228
RandomForest,native,10.0,mfcc_6_mean,0.02996640568893183,0.023793443701780485
RandomForest,native,11.0,intensity_min,0.02904727453136463,0.008578376121862004
RandomForest,native,12.0,delta_mfcc_8_mean,0.028619871424762557,0.018866490433396256
RandomForest,native,13.0,mfcc_4_mean,0.02545457504652409,0.022653472835776803
RandomForest,native,14.0,mfcc_10_mean,0.024459283771988184,0.007863313017268319
RandomForest,native,15.0,mfcc_5_mean,0.023764519436788784,0.013231869419510255
RandomForest,native,16.0,f3_mean,0.023420236792071735,0.009471663596147574
RandomForest,native,17.0,f0_min,0.022441979331508842,0.00844576589748964
RandomForest,native,18.0,intensity_max,0.02210981275413751,0.009799798165733136
RandomForest,native,19.0,delta_mfcc_1_mean,0.021908070025637418,0.005565387907508365
RandomForest,native,20.0,jitter_local,0.021330643554990737,0.005912595331258236
RandomForest,permutation,1.0,intensity_min,0.06071428571428572,0.06307136790160485
RandomForest,permutation,2.0,f3_std,0.052857142857142846,0.0642063001549835
RandomForest,permutation,3.0,intensity_mean,0.051071428571428566,0.07075125296359328
RandomForest,permutation,4.0,f0_mean,0.03357142857142857,0.03603428073036982
RandomForest,permutation,5.0,f0_max,0.031071428571428566,0.03178370780183855
RandomForest,permutation,6.0,intensity_max,0.03035714285714285,0.028849097181077695
RandomForest,permutation,7.0,autocorr_harmonicity,0.02857142857142857,0.03912303982179757
RandomForest,permutation,7.0,mfcc_7_mean,0.02857142857142857,0.04403152859263555
RandomForest,permutation,9.0,jitter_local,0.02749999999999999,0.04366062299143244
RandomForest,permutation,10.0,mfcc_2_mean,0.02499999999999999,0.10307764064044149
RandomForest,permutation,11.0,mfcc_8_mean,0.023571428571428573,0.03421868447715281
RandomForest,permutation,12.0,mfcc_11_mean,0.022857142857142847,0.05111012519999518
RandomForest,permutation,13.0,jitter_ppq5,0.02214285714285714,0.029494032602946536
